Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.09     0.00   318393     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >)
  0.00      0.09     0.00   202473     0.00     0.00  HSLA const& std::forward<HSLA const&>(std::remove_reference<HSLA const&>::type&)
  0.00      0.09     0.00   200259     0.00     0.00  bool __gnu_cxx::operator!=<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > const&, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > const&)
  0.00      0.09     0.00   100512     0.00     0.00  std::vector<std::vector<HSLA, std::allocator<HSLA> >, std::allocator<std::vector<HSLA, std::allocator<HSLA> > > >::operator[](unsigned long)
  0.00      0.09     0.00   100257     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.09     0.00   100000     0.00     0.00  void std::allocator_traits<std::allocator<HSLA> >::construct<HSLA, HSLA const&>(std::allocator<HSLA>&, HSLA*, HSLA const&)
  0.00      0.09     0.00   100000     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::push_back(HSLA const&)
  0.00      0.09     0.00   100000     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::operator[](unsigned long)
  0.00      0.09     0.00    99999     0.00     0.00  std::remove_reference<bool (*&)(HSLA const&, HSLA const&)>::type&& std::move<bool (*&)(HSLA const&, HSLA const&)>(bool (*&)(HSLA const&, HSLA const&))
  0.00      0.09     0.00    99997     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<bool (*)(HSLA const&, HSLA const&)>::_Val_comp_iter(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)>&&)
  0.00      0.09     0.00    99997     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<bool (*)(HSLA const&, HSLA const&)> __gnu_cxx::__ops::__val_comp_iter<bool (*)(HSLA const&, HSLA const&)>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)>)
  0.00      0.09     0.00    99997     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(HSLA const&, HSLA const&)> >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(HSLA const&, HSLA const&)>)
  0.00      0.09     0.00    99997     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)>&>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)>&)
  0.00      0.09     0.00    48875     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >::__normal_iterator(HSLA* const&)
  0.00      0.09     0.00    34198     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >::difference_type __gnu_cxx::operator-<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > const&, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > const&)
  0.00      0.09     0.00    31986     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >::operator+(long) const
  0.00      0.09     0.00    15858     0.00     0.00  HSLA* std::__niter_base<HSLA*>(HSLA*)
  0.00      0.09     0.00    10404     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >::operator-(long) const
